Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Ticker_5,Shares_5,Dividend_5,Price_5,Ticker_6,Shares_6,Dividend_6,Price_6,Ticker_7,Shares_7,Dividend_7,Price_7,Cash,Capital,InOutCash,Bench
2017-09-11,FBT,11.525024219765086,0.0,123.99,FDN,18.98823794053617,0.0,100.79,IGV,12.957013629642901,0.0,149.2,IHI,8.62623234912336,0.0,170.47,ITA,16.746879484522946,0.0,169.99,TLT,24.233406722375815,0.0,127.46,0,0.0,0.0,0.0,-715.7616291685114,11966,0,153.57500000000002
2017-09-12,FBT,11.525024219765086,0.0,124.25,FDN,18.98823794053617,0.0,101.2,IGV,12.957013629642901,0.0,149.03,IHI,8.62623234912336,0.0,170.66,ITA,16.746879484522946,0.0,169.64,TLT,24.233406722375815,0.0,126.79,0,0.0,0.0,0.0,-715.7616291685114,11954,0,153.925
2017-09-13,FBT,11.525024219765086,0.0,124.11,FDN,18.98823794053617,0.0,101.1,IGV,12.957013629642901,0.0,148.47,IHI,8.62623234912336,0.0,169.58,ITA,16.746879484522946,0.0,169.12,TLT,24.233406722375815,0.0,126.29,0,0.0,0.0,0.0,-715.7616291685114,11913,0,154.125
2017-09-14,FBT,11.525024219765086,0.0,123.28,FDN,18.98823794053617,0.0,100.82,IGV,12.957013629642901,0.0,148.18,IHI,8.62623234912336,0.0,169.48,ITA,16.746879484522946,0.0,170.0,TLT,24.233406722375815,0.0,126.81,0,0.0,0.0,0.0,-715.7616291685114,11921,0,153.26500000000001
2017-09-15,FBT,11.525024219765086,0.0,123.35,FDN,18.98823794053617,0.0,101.01,IGV,12.957013629642901,0.0,146.94,IHI,8.62623234912336,0.0,169.0,ITA,16.746879484522946,0.0,171.03,TLT,24.233406722375815,0.0,126.86,0,0.0,0.0,0.0,-715.7616291685114,11924,0,153.76500000000001
2017-09-18,FBT,11.525024219765086,0.0,123.39,FDN,18.98823794053617,0.0,101.18,IGV,12.957013629642901,0.0,147.2,IHI,8.62623234912336,0.0,169.58,ITA,16.746879484522946,0.0,174.01,TLT,24.233406722375815,0.0,126.13,0,0.0,0.0,0.0,-715.7616291685114,11968,0,153.574
2017-09-19,FBT,11.525024219765086,0.0,122.25,FDN,18.98823794053617,0.0,101.47,IGV,12.957013629642901,0.0,147.42,IHI,8.62623234912336,0.0,167.84,ITA,16.746879484522946,0.0,175.39,TLT,24.233406722375815,0.0,125.82,0,0.0,0.0,0.0,-715.7616291685114,11964,0,153.824
2017-09-20,FBT,11.525024219765086,0.0,124.19,FDN,18.98823794053617,0.0,101.52,IGV,12.957013629642901,0.0,146.65,IHI,8.62623234912336,0.0,167.87,ITA,16.746879484522946,0.0,176.49,TLT,24.233406722375815,0.0,125.91,0,0.0,0.0,0.0,-715.7616291685114,11998,0,153.374
2017-09-21,FBT,11.525024219765086,0.0,122.75,FDN,18.98823794053617,0.0,101.49,IGV,12.957013629642901,0.0,145.64,IHI,8.62623234912336,0.0,166.42,ITA,16.746879484522946,0.0,177.5,TLT,24.233406722375815,0.0,125.84,0,0.0,0.0,0.0,-715.7616291685114,11970,0,152.484
2017-09-22,FBT,11.525024219765086,0.0,122.99,FDN,18.98823794053617,0.0,101.62,IGV,12.957013629642901,0.0,146.18,IHI,8.62623234912336,0.0,167.17,ITA,16.746879484522946,0.0,177.85,TLT,24.233406722375815,0.0,126.2,0,0.0,0.0,0.0,-715.7616291685114,12004,0,152.344
2017-09-25,FBT,11.525024219765086,0.0,123.48,FDN,18.98823794053617,0.0,99.56,IGV,12.957013629642901,0.0,143.55,IHI,8.62623234912336,0.0,166.33,ITA,16.746879484522946,0.0,177.07,TLT,24.233406722375815,0.0,126.99,0,0.0,0.0,0.0,-715.7616291685114,11935,0,150.824
2017-09-26,FBT,11.525024219765086,0.0,122.11,FDN,18.98823794053617,0.0,99.66,IGV,12.957013629642901,0.022000000000000002,143.47,IHI,8.62623234912336,0.19,166.1,ITA,16.746879484522946,0.708,177.2,TLT,24.233406722375815,0.0,126.76,0,0.0,0.0,0.0,-715.7616291685114,11915,0,151.194
2017-09-27,FBT,11.525024219765086,0.0,122.79,FDN,18.98823794053617,0.0,101.34,IGV,12.957013629642901,0.0,145.07,IHI,8.62623234912336,0.0,166.47,ITA,16.746879484522946,0.0,178.77,TLT,24.233406722375815,0.0,124.85,0,0.0,0.0,0.0,-715.7616291685114,11958,0,152.484
2017-09-28,FBT,11.525024219765086,0.0,123.43,FDN,18.98823794053617,0.0,101.54,IGV,12.957013629642901,0.0,145.09,IHI,8.62623234912336,0.0,165.53,ITA,16.746879484522946,0.0,177.48,TLT,24.233406722375815,0.0,124.48,0,0.0,0.0,0.0,-715.7616291685114,11931,0,152.434
2017-09-29,FBT,11.6310008234464,0.0,123.93,FDN,18.77595326364091,0.0,102.36,IGV,13.14034306075676,0.0,146.26,IHI,8.629766700890332,0.0,167.03,ITA,16.19220323578648,0.0,178.04,TLT,25.03284855809322,0.0,124.76,0,0.0,0.0,0.0,-720.7149660248568,12011,0,153.474
2017-10-02,FBT,11.6310008234464,0.0,126.3,FDN,18.77595326364091,0.0,102.74,IGV,13.14034306075676,0.0,146.47,IHI,8.629766700890332,0.0,168.33,ITA,16.19220323578648,0.0,180.4,TLT,25.03284855809322,0.252,124.28,0,0.0,0.0,0.0,-720.7149660248568,12086,0,153.604
2017-10-03,FBT,11.6310008234464,0.0,126.24,FDN,18.77595326364091,0.0,103.46,IGV,13.14034306075676,0.0,147.06,IHI,8.629766700890332,0.0,167.87,ITA,16.19220323578648,0.0,180.42,TLT,25.03284855809322,0.0,124.4,0,0.0,0.0,0.0,-720.7149660248568,12106,0,153.914
