Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2012-05-10,VUSTX,1125.7864302958274,0.0,12.98,0.0,14612,0,66.413
2012-05-11,VUSTX,1125.7864302958274,0.0,13.07,0.0,14714,0,66.403
2012-05-14,VUSTX,1125.7864302958274,0.0,13.22,0.0,14882,0,65.803
2012-05-15,VUSTX,1125.7864302958274,0.0,13.27,0.0,14939,0,65.593
2012-05-16,VUSTX,1125.7864302958274,0.0,13.3,0.0,14972,0,65.163
2012-05-17,VUSTX,1125.7864302958274,0.0,13.51,0.0,15209,0,63.833
2012-05-18,VUSTX,1125.7864302958274,0.0,13.51,0.0,15209,0,63.033
2012-05-21,VUSTX,1125.7864302958274,0.0,13.48,0.0,15175,0,64.733
2012-05-22,VUSTX,1125.7864302958274,0.0,13.34,0.0,15017,0,64.663
2012-05-23,VUSTX,1125.7864302958274,0.0,13.43,0.0,15119,0,64.783
2012-05-24,VUSTX,1125.7864302958274,0.0,13.39,0.0,15074,0,64.373
2012-05-25,VUSTX,1125.7864302958274,0.0,13.41,0.0,15096,0,64.293
2012-05-29,VUSTX,1125.7864302958274,0.0,13.39,0.0,15074,0,65.083
2012-05-30,VUSTX,1125.7864302958274,0.0,13.68,0.0,15400,0,64.553
2012-05-31,VUSTX,1127.9476347576658,0.0,13.81,0.0,15576,0,64.283
2012-06-01,VUSTX,1127.9476347576658,0.0,14.1,0.0,15904,0,62.632999999999996
2012-06-04,VUSTX,1127.9476347576658,0.0,14.01,0.0,15802,0,63.092999999999996
2012-06-05,VUSTX,1127.9476347576658,0.0,13.85,0.0,15622,0,63.342999999999996
2012-06-06,VUSTX,1127.9476347576658,0.0,13.6,0.0,15340,0,64.74300000000001
2012-06-07,VUSTX,1127.9476347576658,0.0,13.62,0.0,15362,0,64.49300000000001
2012-06-08,VUSTX,1127.9476347576658,0.0,13.61,0.0,15351,0,65.093
2012-06-11,VUSTX,1127.9476347576658,0.0,13.67,0.0,15419,0,64.033
2012-06-12,VUSTX,1127.9476347576658,0.0,13.55,0.0,15283,0,64.783
2012-06-13,VUSTX,1127.9476347576658,0.0,13.67,0.0,15419,0,64.35300000000001
2012-06-14,VUSTX,1127.9476347576658,0.0,13.65,0.0,15396,0,64.583
2012-06-15,VUSTX,1127.9476347576658,0.0,13.72,0.0,15475,0,65.35600000000001
2012-06-18,VUSTX,1127.9476347576658,0.0,13.78,0.0,15543,0,65.946
2012-06-19,VUSTX,1127.9476347576658,0.0,13.63,0.0,15373,0,66.606
2012-06-20,VUSTX,1127.9476347576658,0.0,13.66,0.0,15407,0,66.656
2012-06-21,VUSTX,1127.9476347576658,0.0,13.73,0.0,15486,0,65.056
2012-06-22,VUSTX,1127.9476347576658,0.0,13.57,0.0,15306,0,65.71600000000001
2012-06-25,VUSTX,1127.9476347576658,0.0,13.73,0.0,15486,0,64.49600000000001
