Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2008-07-30,VUSTX,7223.713081922702,0.0,11.32,0.0,81772,0,148.48000000000002
2008-07-31,VUSTX,7248.713873345131,0.0,11.42,0.0,82780,0,146.95
2008-08-01,VUSTX,7248.713873345131,0.0,11.41,0.0,82707,0,146.3
2008-08-04,VUSTX,7248.713873345131,0.0,11.39,0.0,82562,0,145.26
2008-08-05,VUSTX,7248.713873345131,0.0,11.34,0.0,82200,0,148.57
2008-08-06,VUSTX,7248.713873345131,0.0,11.28,0.0,81765,0,149.03000000000003
2008-08-07,VUSTX,7248.713873345131,0.0,11.44,0.0,82925,0,146.91000000000003
2008-08-08,VUSTX,7248.713873345131,0.0,11.46,0.0,83070,0,149.7
2008-08-11,VUSTX,7248.713873345131,0.0,11.36,0.0,82345,0,150.56
2008-08-12,VUSTX,7248.713873345131,0.0,11.45,0.0,82997,0,149.11
2008-08-13,VUSTX,7248.713873345131,0.0,11.42,0.0,82780,0,148.81
2008-08-14,VUSTX,7248.713873345131,0.0,11.49,0.0,83287,0,149.47000000000003
2008-08-15,VUSTX,7248.713873345131,0.0,11.54,0.0,83650,0,149.97000000000003
2008-08-18,VUSTX,7248.713873345131,0.0,11.57,0.0,83867,0,148.17000000000002
2008-08-19,VUSTX,7248.713873345131,0.0,11.54,0.0,83650,0,147.08
2008-08-20,VUSTX,7248.713873345131,0.0,11.59,0.0,84012,0,147.81
2008-08-21,VUSTX,7248.713873345131,0.0,11.56,0.0,83795,0,148.11
2008-08-22,VUSTX,7248.713873345131,0.0,11.55,0.0,83722,0,149.46
